account_id,feature_name,first_use_date,days_to_adopt,is_beta_feature,beta_adopter,signup_date,dirty_row_flag,dirty_row_reason
A-00bed1,feature_1,2024-07-20,249,True,False,2023-11-14,False,
A-00bed1,feature_10,2023-03-19,0,False,False,2023-11-14,True,"[""negative_days_to_adopt_adjusted""]"
A-00bed1,feature_11,2024-03-24,131,False,False,2023-11-14,False,
A-00bed1,feature_12,2023-09-02,0,False,False,2023-11-14,True,"[""negative_days_to_adopt_adjusted""]"
A-00bed1,feature_13,2023-10-29,0,False,False,2023-11-14,True,"[""negative_days_to_adopt_adjusted""]"
A-00bed1,feature_14,2023-11-22,8,False,False,2023-11-14,False,
A-00bed1,feature_16,2024-08-30,290,False,False,2023-11-14,False,
A-00bed1,feature_17,2023-04-09,0,False,False,2023-11-14,True,"[""negative_days_to_adopt_adjusted""]"
A-00bed1,feature_19,2023-08-03,0,False,False,2023-11-14,True,"[""negative_days_to_adopt_adjusted""]"
A-00bed1,feature_2,2024-07-22,251,False,False,2023-11-14,False,
A-00bed1,feature_21,2024-01-29,76,False,False,2023-11-14,False,
A-00bed1,feature_22,2023-01-22,0,False,False,2023-11-14,True,"[""negative_days_to_adopt_adjusted""]"
A-00bed1,feature_23,2023-08-25,0,False,False,2023-11-14,True,"[""negative_days_to_adopt_adjusted""]"
A-00bed1,feature_24,2023-12-10,26,False,False,2023-11-14,False,
A-00bed1,feature_25,2023-08-15,0,False,False,2023-11-14,True,"[""negative_days_to_adopt_adjusted""]"
A-00bed1,feature_26,2023-11-13,0,False,False,2023-11-14,True,"[""negative_days_to_adopt_adjusted""]"
A-00bed1,feature_27,2023-01-07,0,False,False,2023-11-14,True,"[""negative_days_to_adopt_adjusted""]"
A-00bed1,feature_28,2024-06-19,218,False,False,2023-11-14,False,
A-00bed1,feature_30,2023-01-22,0,False,False,2023-11-14,True,"[""negative_days_to_adopt_adjusted""]"
A-00bed1,feature_31,2024-04-03,141,False,False,2023-11-14,False,
A-00bed1,feature_32,2023-10-24,0,False,False,2023-11-14,True,"[""negative_days_to_adopt_adjusted""]"
A-00bed1,feature_33,2023-01-26,0,False,False,2023-11-14,True,"[""negative_days_to_adopt_adjusted""]"
A-00bed1,feature_35,2024-03-27,134,False,False,2023-11-14,False,
A-00bed1,feature_36,2023-03-30,0,False,False,2023-11-14,True,"[""negative_days_to_adopt_adjusted""]"
A-00bed1,feature_37,2023-09-19,0,False,False,2023-11-14,True,"[""negative_days_to_adopt_adjusted""]"
A-00bed1,feature_39,2024-09-06,297,False,False,2023-11-14,False,
A-00bed1,feature_4,2024-04-25,163,False,False,2023-11-14,False,
A-00bed1,feature_40,2023-12-20,36,False,False,2023-11-14,False,
A-00bed1,feature_5,2023-03-31,0,False,False,2023-11-14,True,"[""negative_days_to_adopt_adjusted""]"
A-00bed1,feature_6,2023-06-21,0,True,True,2023-11-14,True,"[""negative_days_to_adopt_adjusted""]"
A-00bed1,feature_7,2023-06-07,0,False,False,2023-11-14,True,"[""negative_days_to_adopt_adjusted""]"
A-00bed1,feature_9,2023-05-17,0,False,False,2023-11-14,True,"[""negative_days_to_adopt_adjusted""]"
A-00bed1,,2023-08-25,0,False,False,2023-11-14,True,"[""negative_days_to_adopt_adjusted""]"
A-00cac8,feature_1,2023-06-06,0,False,False,2023-09-15,True,"[""negative_days_to_adopt_adjusted""]"
A-00cac8,feature_10,2023-08-07,0,True,True,2023-09-15,True,"[""negative_days_to_adopt_adjusted""]"
A-00cac8,feature_11,2024-07-12,301,False,False,2023-09-15,False,
A-00cac8,feature_12,2023-05-09,0,False,False,2023-09-15,True,"[""negative_days_to_adopt_adjusted""]"
A-00cac8,feature_14,2024-04-06,204,False,False,2023-09-15,False,
A-00cac8,feature_15,2023-02-01,0,False,False,2023-09-15,True,"[""negative_days_to_adopt_adjusted""]"
A-00cac8,feature_16,2024-01-09,116,True,False,2023-09-15,False,
A-00cac8,feature_18,2024-01-25,132,False,False,2023-09-15,False,
A-00cac8,feature_2,2024-12-12,454,True,False,2023-09-15,False,
A-00cac8,feature_21,2023-01-29,0,True,True,2023-09-15,True,"[""negative_days_to_adopt_adjusted""]"
A-00cac8,feature_22,2023-11-06,52,False,False,2023-09-15,False,
A-00cac8,feature_23,2023-04-19,0,False,False,2023-09-15,True,"[""negative_days_to_adopt_adjusted""]"
A-00cac8,feature_24,2023-10-07,22,False,False,2023-09-15,False,
A-00cac8,feature_25,2023-12-02,78,False,False,2023-09-15,False,
A-00cac8,feature_26,2024-10-04,385,False,False,2023-09-15,False,
A-00cac8,feature_27,2024-01-04,111,False,False,2023-09-15,False,
A-00cac8,feature_28,2023-01-27,0,False,False,2023-09-15,True,"[""negative_days_to_adopt_adjusted""]"
A-00cac8,feature_30,2023-05-15,0,False,False,2023-09-15,True,"[""negative_days_to_adopt_adjusted""]"
A-00cac8,feature_31,2024-02-04,142,False,False,2023-09-15,False,
A-00cac8,feature_32,2023-01-01,0,False,False,2023-09-15,True,"[""negative_days_to_adopt_adjusted""]"
A-00cac8,feature_33,2023-01-04,0,False,False,2023-09-15,True,"[""negative_days_to_adopt_adjusted""]"
A-00cac8,feature_34,2024-04-29,227,False,False,2023-09-15,False,
A-00cac8,feature_35,2023-04-23,0,False,False,2023-09-15,True,"[""negative_days_to_adopt_adjusted""]"
A-00cac8,feature_36,2023-11-16,62,False,False,2023-09-15,False,
A-00cac8,feature_37,2023-09-04,0,False,False,2023-09-15,True,"[""negative_days_to_adopt_adjusted""]"
A-00cac8,feature_39,2024-01-03,110,False,False,2023-09-15,False,
A-00cac8,feature_5,2024-03-10,177,False,False,2023-09-15,False,
A-00cac8,feature_6,2023-02-25,0,False,False,2023-09-15,True,"[""negative_days_to_adopt_adjusted""]"
A-00cac8,feature_8,2023-02-05,0,True,True,2023-09-15,True,"[""negative_days_to_adopt_adjusted""]"
A-00cac8,feature_9,2023-07-22,0,False,False,2023-09-15,True,"[""negative_days_to_adopt_adjusted""]"
A-00cac8,,2024-04-06,204,False,False,2023-09-15,False,
A-0158bb,feature_11,2024-12-03,195,False,False,2024-05-22,False,
A-0158bb,feature_12,2024-08-09,79,False,False,2024-05-22,False,
A-0158bb,feature_15,2023-12-07,0,True,True,2024-05-22,True,"[""negative_days_to_adopt_adjusted""]"
