subscription_id,usage_month,usage_count_month,usage_duration_month,unique_features_month,error_count_month,days_in_month,duration_per_use,usage_intensity,is_heavy_user_month
S-001561,2023-03,8,1872.0,1,0,31,234.0,0.25806451612903225,False
S-001561,2023-05,23,13144.0,2,3,31,571.4782608695652,0.7419354838709677,True
S-001561,2023-12,9,3564.0,1,0,31,396.0,0.2903225806451613,False
S-001561,2024-06,16,6048.0,1,0,30,378.0,0.5333333333333333,True
S-0027d3,2023-01,24,12528.0,1,0,31,522.0,0.7741935483870968,True
S-0027d3,2023-05,16,5136.0,1,0,31,321.0,0.5161290322580645,True
S-0027d3,2024-08,8,4072.0,1,0,31,509.0,0.25806451612903225,False
S-0027d3,2024-12,4,1680.0,1,0,31,420.0,0.12903225806451613,False
S-003647,2023-01,7,1428.0,1,2,31,204.0,0.22580645161290322,False
S-003647,2023-05,20,3306.0,2,1,31,165.3,0.6451612903225806,True
S-003647,2023-06,14,2968.0,1,0,30,212.0,0.4666666666666667,True
S-003647,2023-07,7,3395.0,1,0,31,485.0,0.22580645161290322,False
S-003647,2023-10,11,176.0,1,0,31,16.0,0.3548387096774194,False
S-003647,2023-12,7,973.0,1,0,31,139.0,0.22580645161290322,False
S-003647,2024-12,12,2256.0,1,0,31,188.0,0.3870967741935484,True
S-003fc0,2023-02,7,2625.0,1,0,28,375.0,0.25,False
S-003fc0,2023-11,8,656.0,1,0,30,82.0,0.26666666666666666,False
S-003fc0,2023-12,14,5656.0,1,0,31,404.0,0.45161290322580644,True
S-003fc0,2024-09,14,2996.0,1,1,30,214.0,0.4666666666666667,True
S-004d19,2023-12,9,3996.0,1,0,31,444.0,0.2903225806451613,False
S-004d19,2024-12,9,1620.0,1,0,31,180.0,0.2903225806451613,False
S-004eb4,2023-06,8,1496.0,1,1,30,187.0,0.26666666666666666,False
S-004eb4,2023-11,10,5960.0,1,0,30,596.0,0.3333333333333333,False
S-004eb4,2024-03,37,3793.0,2,0,31,102.51351351351352,1.1935483870967742,True
S-004eb4,2024-04,20,6568.0,2,1,30,328.4,0.6666666666666666,True
S-004eb4,2024-09,10,3490.0,1,0,30,349.0,0.3333333333333333,False
S-004eb4,2024-12,7,728.0,1,0,31,104.0,0.22580645161290322,False
S-006908,2024-11,13,403.0,1,1,30,31.0,0.43333333333333335,True
S-006fed,2023-01,11,2002.0,1,0,31,182.0,0.3548387096774194,False
S-006fed,2023-04,33,16532.0,2,0,30,500.969696969697,1.1,True
S-006fed,2023-08,8,2016.0,1,0,31,252.0,0.25806451612903225,False
S-006fed,2023-10,10,4260.0,1,0,31,426.0,0.3225806451612903,False
S-006fed,2024-03,12,7104.0,1,0,31,592.0,0.3870967741935484,True
S-006fed,2024-05,12,2664.0,1,0,31,222.0,0.3870967741935484,True
S-006fed,2024-07,9,333.0,1,0,31,37.0,0.2903225806451613,False
S-006fed,2024-09,19,9762.0,2,0,30,513.7894736842105,0.6333333333333333,True
S-007e2c,2023-02,20,1840.0,1,0,28,92.0,0.7142857142857143,True
S-007e2c,2024-05,19,6093.0,2,0,31,320.6842105263158,0.6129032258064516,True
S-007e2c,2024-11,20,5909.0,2,0,30,295.45,0.6666666666666666,True
S-00837c,2023-07,3,150.0,1,5,31,50.0,0.0967741935483871,False
S-00837c,2023-10,20,700.0,1,0,31,35.0,0.6451612903225806,True
S-00837c,2024-10,14,3556.0,1,1,31,254.0,0.45161290322580644,True
S-00837c,2024-11,8,4232.0,1,1,30,529.0,0.26666666666666666,False
S-00866d,2023-06,12,264.0,1,2,30,22.0,0.4,True
S-00866d,2023-08,9,1611.0,1,0,31,179.0,0.2903225806451613,False
S-00866d,2024-11,16,80.0,1,0,30,5.0,0.5333333333333333,True
S-008cab,2023-09,13,2301.0,1,1,30,177.0,0.43333333333333335,True
S-008cab,2023-10,13,2990.0,1,0,31,230.0,0.41935483870967744,True
S-008cab,2023-11,26,11518.0,1,0,30,443.0,0.8666666666666667,True
S-008cab,2024-06,32,12322.0,2,2,30,385.0625,1.0666666666666667,True
S-008cab,2024-09,9,2034.0,1,0,30,226.0,0.3,False
S-008cab,2024-10,10,1410.0,1,3,31,141.0,0.3225806451612903,False
S-008cab,2024-12,17,6391.0,2,2,31,375.94117647058823,0.5483870967741935,True
S-008f3c,2024-07,6,1950.0,1,0,31,325.0,0.1935483870967742,False
S-009027,2023-10,26,12196.0,2,1,31,469.0769230769231,0.8387096774193549,True
S-009027,2024-06,12,2436.0,1,0,30,203.0,0.4,True
S-009027,2024-09,5,1080.0,1,0,30,216.0,0.16666666666666666,False
S-009027,2024-12,11,4191.0,1,0,31,381.0,0.3548387096774194,False
S-00ab51,2023-04,14,1806.0,1,0,30,129.0,0.4666666666666667,True
S-00ab51,2023-07,12,3780.0,1,1,31,315.0,0.3870967741935484,True
S-00ab51,2023-09,26,4056.0,1,0,30,156.0,0.8666666666666667,True
S-00ab51,2024-03,20,11520.0,1,2,31,576.0,0.6451612903225806,True
S-00b0bc,2024-02,4,2304.0,1,0,29,576.0,0.13793103448275862,False
S-00bb84,2023-01,15,4830.0,2,1,31,322.0,0.4838709677419355,True
S-00bb84,2023-03,7,385.0,1,0,31,55.0,0.22580645161290322,False
S-00bb84,2023-07,10,5010.0,1,0,31,501.0,0.3225806451612903,False
S-00bb84,2023-12,44,9460.0,1,8,31,215.0,1.4193548387096775,True
S-00bb84,2024-02,9,2376.0,1,0,29,264.0,0.3103448275862069,False
S-00bb84,2024-03,18,2988.0,2,0,31,166.0,0.5806451612903226,True
S-00dea4,2023-05,14,2996.0,1,0,31,214.0,0.45161290322580644,True
S-00dea4,2023-09,26,10088.0,1,0,30,388.0,0.8666666666666667,True
S-00dea4,2023-10,24,2159.0,1,0,31,89.95833333333333,0.7741935483870968,True
S-00dea4,2024-09,14,5236.0,1,0,30,374.0,0.4666666666666667,True
S-00dea4,2024-10,10,1330.0,1,0,31,133.0,0.3225806451612903,False
S-00f31d,2023-01,11,4158.0,1,0,31,378.0,0.3548387096774194,False
S-00f31d,2023-04,6,1818.0,1,0,30,303.0,0.2,False
S-00f31d,2023-05,9,378.0,1,0,31,42.0,0.2903225806451613,False
S-00f31d,2024-02,6,1974.0,1,0,29,329.0,0.20689655172413793,False
S-00f31d,2024-07,8,4488.0,1,2,31,561.0,0.25806451612903225,False
S-00fb6e,2023-06,12,6624.0,1,0,30,552.0,0.4,True
S-00fb6e,2024-03,13,4862.0,1,0,31,374.0,0.41935483870967744,True
S-00fb6e,2024-07,12,744.0,1,0,31,62.0,0.3870967741935484,True
S-00fb6e,2024-08,12,2028.0,1,0,31,169.0,0.3870967741935484,True
S-00fb6e,2024-12,8,3456.0,1,0,31,432.0,0.25806451612903225,False
S-00fcc5,2023-05,13,6058.0,1,0,31,466.0,0.41935483870967744,True
S-00fcc5,2023-07,12,5472.0,1,0,31,456.0,0.3870967741935484,True
S-00fcc5,2023-08,35,18050.0,3,1,31,515.7142857142857,1.1290322580645162,True
S-00fcc5,2024-03,18,5580.0,1,0,31,310.0,0.5806451612903226,True
S-00fcc5,2024-07,11,924.0,1,1,31,84.0,0.3548387096774194,False
S-012ab9,2023-04,29,9021.0,2,2,30,311.0689655172414,0.9666666666666667,True
S-012ab9,2024-01,13,4927.0,1,0,31,379.0,0.41935483870967744,True
S-012ab9,2024-02,4,296.0,1,0,29,74.0,0.13793103448275862,False
S-012ab9,2024-04,11,3025.0,1,0,30,275.0,0.36666666666666664,False
S-012ab9,2024-07,9,549.0,1,0,31,61.0,0.2903225806451613,False
S-012ab9,2024-09,9,2295.0,1,0,30,255.0,0.3,False
S-012b26,2023-02,12,1962.0,2,4,28,163.5,0.42857142857142855,True
S-012b26,2023-08,10,4100.0,1,0,31,410.0,0.3225806451612903,False
S-012b26,2023-10,19,3021.0,1,0,31,159.0,0.6129032258064516,True
S-012b26,2023-11,7,1911.0,1,0,30,273.0,0.23333333333333334,False
S-012b26,2024-01,8,3264.0,1,0,31,408.0,0.25806451612903225,False
S-012b26,2024-02,14,5320.0,1,0,29,380.0,0.4827586206896552,True
S-012b26,2024-11,23,9730.0,2,0,30,423.04347826086956,0.7666666666666667,True
S-013f5c,2023-03,11,4510.0,1,0,31,410.0,0.3548387096774194,False
S-013f5c,2023-05,8,3448.0,1,3,31,431.0,0.25806451612903225,False
S-013f5c,2023-06,13,1287.0,1,0,30,99.0,0.43333333333333335,True
S-013f5c,2023-07,12,1452.0,1,0,31,121.0,0.3870967741935484,True
S-013f5c,2023-08,8,4600.0,1,0,31,575.0,0.25806451612903225,False
S-013f5c,2023-09,10,610.0,1,0,30,61.0,0.3333333333333333,False
S-013f5c,2023-10,13,6825.0,1,0,31,525.0,0.41935483870967744,True
S-013f5c,2023-12,10,270.0,1,3,31,27.0,0.3225806451612903,False
S-013f5c,2024-05,12,3504.0,1,0,31,292.0,0.3870967741935484,True
S-0144ac,2023-10,5,135.0,1,0,31,27.0,0.16129032258064516,False
S-0144ac,2024-09,24,8172.0,2,0,30,340.5,0.8,True
S-0144ac,2024-12,10,5130.0,1,0,31,513.0,0.3225806451612903,False
S-0146f6,2023-05,6,2640.0,1,0,31,440.0,0.1935483870967742,False
S-0146f6,2023-08,28,13384.0,1,2,31,478.0,0.9032258064516129,True
S-0146f6,2024-04,9,4851.0,1,0,30,539.0,0.3,False
S-0146f6,2024-07,7,2443.0,1,0,31,349.0,0.22580645161290322,False
S-0146f6,2024-10,21,8269.0,2,0,31,393.76190476190476,0.6774193548387096,True
S-016b5f,2023-03,6,2244.0,1,3,31,374.0,0.1935483870967742,False
S-016b5f,2023-12,9,3996.0,1,0,31,444.0,0.2903225806451613,False
S-016b5f,2024-01,26,4992.0,2,5,31,192.0,0.8387096774193549,True
S-016b5f,2024-06,24,6240.0,1,0,30,260.0,0.8,True
S-017e33,2023-02,4,388.0,1,0,28,97.0,0.14285714285714285,False
S-017e33,2023-04,13,3822.0,1,2,30,294.0,0.43333333333333335,True
S-017e33,2023-12,10,3620.0,1,4,31,362.0,0.3225806451612903,False
S-017e33,2024-03,9,4374.0,1,0,31,486.0,0.2903225806451613,False
S-017e33,2024-05,13,5400.0,2,1,31,415.38461538461536,0.41935483870967744,True
S-017e33,2024-11,12,1188.0,1,0,30,99.0,0.4,True
S-018501,2023-01,8,1584.0,1,0,31,198.0,0.25806451612903225,False
S-018501,2023-04,13,2080.0,1,2,30,160.0,0.43333333333333335,True
S-018501,2023-05,20,6740.0,1,2,31,337.0,0.6451612903225806,True
S-018501,2023-09,22,5554.0,2,0,30,252.45454545454547,0.7333333333333333,True
S-018501,2024-11,9,3726.0,1,0,30,414.0,0.3,False
S-0185ce,2023-01,16,3264.0,1,0,31,204.0,0.5161290322580645,True
S-0185ce,2023-11,13,3783.0,1,0,30,291.0,0.43333333333333335,True
S-0185ce,2024-02,18,324.0,1,3,29,18.0,0.6206896551724138,True
S-01990c,2023-09,3,1206.0,1,2,30,402.0,0.1,False
S-01ae7f,2023-01,17,4482.0,2,1,31,263.6470588235294,0.5483870967741935,True
S-01ae7f,2023-03,30,11333.0,3,1,31,377.76666666666665,0.967741935483871,True
S-01ae7f,2023-11,9,2745.0,1,0,30,305.0,0.3,False
S-01ae7f,2024-07,15,5370.0,1,0,31,358.0,0.4838709677419355,True
S-01ae7f,2024-08,6,330.0,1,2,31,55.0,0.1935483870967742,False
S-01ae7f,2024-09,23,8235.0,2,0,30,358.04347826086956,0.7666666666666667,True
S-01afa4,2023-01,18,8833.0,2,0,31,490.72222222222223,0.5806451612903226,True
S-01afa4,2023-09,13,988.0,1,1,30,76.0,0.43333333333333335,True
S-01afa4,2024-06,13,6188.0,1,0,30,476.0,0.43333333333333335,True
S-01b2dc,2023-06,10,3390.0,1,0,30,339.0,0.3333333333333333,False
S-01b2dc,2023-09,7,847.0,1,0,30,121.0,0.23333333333333334,False
S-01b2dc,2024-02,12,1128.0,1,0,29,94.0,0.41379310344827586,True
S-01b2dc,2024-05,10,1080.0,1,2,31,108.0,0.3225806451612903,False
S-01b2dc,2024-10,9,711.0,1,2,31,79.0,0.2903225806451613,False
S-01b2dc,2024-11,11,5951.0,1,2,30,541.0,0.36666666666666664,False
S-01bbfe,2023-12,11,3124.0,1,0,31,284.0,0.3548387096774194,False
S-01bbfe,2024-10,8,752.0,1,0,31,94.0,0.25806451612903225,False
S-01bbff,2023-03,6,3582.0,1,0,31,597.0,0.1935483870967742,False
S-01bbff,2023-06,9,99.0,1,0,30,11.0,0.3,False
S-01bbff,2023-10,14,3192.0,1,0,31,228.0,0.45161290322580644,True
S-01daf5,2023-08,9,1674.0,1,0,31,186.0,0.2903225806451613,False
S-01daf5,2023-09,13,5681.0,1,1,30,437.0,0.43333333333333335,True
S-01daf5,2023-11,8,1304.0,1,0,30,163.0,0.26666666666666666,False
S-01daf5,2023-12,18,1674.0,1,0,31,93.0,0.5806451612903226,True
S-01daf5,2024-01,13,5408.0,1,0,31,416.0,0.41935483870967744,True
S-01daf5,2024-12,16,3040.0,1,0,31,190.0,0.5161290322580645,True
S-01fa46,2023-03,11,605.0,1,0,31,55.0,0.3548387096774194,False
S-01fa46,2023-05,9,5238.0,1,0,31,582.0,0.2903225806451613,False
S-01fa46,2023-08,13,5343.0,1,0,31,411.0,0.41935483870967744,True
S-01fa46,2024-05,10,2410.0,1,2,31,241.0,0.3225806451612903,False
S-01fa46,2024-10,11,891.0,1,1,31,81.0,0.3548387096774194,False
S-01fa46,2024-11,22,4312.0,1,0,30,196.0,0.7333333333333333,True
S-020222,2023-07,10,5970.0,1,1,31,597.0,0.3225806451612903,False
S-020222,2024-03,11,6094.0,1,1,31,554.0,0.3548387096774194,False
S-020222,2024-08,12,1428.0,1,1,31,119.0,0.3870967741935484,True
S-020222,2024-10,9,2745.0,1,0,31,305.0,0.2903225806451613,False
S-020222,2024-12,5,560.0,1,0,31,112.0,0.16129032258064516,False
S-0206eb,2023-02,6,294.0,1,0,28,49.0,0.21428571428571427,False
S-0206eb,2023-05,9,1008.0,1,0,31,112.0,0.2903225806451613,False
S-0206eb,2023-09,14,5250.0,1,0,30,375.0,0.4666666666666667,True
S-0206eb,2023-11,13,7228.0,1,1,30,556.0,0.43333333333333335,True
S-0206eb,2023-12,10,3560.0,1,0,31,356.0,0.3225806451612903,False
S-0206eb,2024-11,6,1806.0,1,0,30,301.0,0.2,False
S-0206eb,2024-12,7,308.0,1,0,31,44.0,0.22580645161290322,False
S-020dce,2024-10,7,903.0,1,0,31,129.0,0.22580645161290322,False
S-021004,2024-02,9,5274.0,1,0,29,586.0,0.3103448275862069,False
S-021297,2024-03,11,605.0,1,0,31,55.0,0.3548387096774194,False
S-021297,2024-12,10,3970.0,1,0,31,397.0,0.3225806451612903,False
S-021985,2023-07,12,2160.0,1,3,31,180.0,0.3870967741935484,True
S-021985,2023-10,11,3707.0,1,0,31,337.0,0.3548387096774194,False
S-021985,2023-12,9,1728.0,1,0,31,192.0,0.2903225806451613,False
S-021985,2024-01,13,637.0,1,0,31,49.0,0.41935483870967744,True
S-021985,2024-08,11,2926.0,1,0,31,266.0,0.3548387096774194,False
S-021ca9,2023-03,8,4024.0,1,0,31,503.0,0.25806451612903225,False
S-021ca9,2023-05,7,3143.0,1,0,31,449.0,0.22580645161290322,False
S-021ca9,2024-04,11,4939.0,1,0,30,449.0,0.36666666666666664,False
S-021ca9,2024-12,14,6188.0,1,0,31,442.0,0.45161290322580644,True
S-022a1e,2023-04,5,2780.0,1,0,30,556.0,0.16666666666666666,False
S-022a1e,2023-06,5,1750.0,1,0,30,350.0,0.16666666666666666,False
S-022a1e,2023-08,11,1958.0,1,0,31,178.0,0.3548387096774194,False
S-022a1e,2024-05,18,8566.0,2,0,31,475.8888888888889,0.5806451612903226,True
S-022a1e,2024-07,10,970.0,1,0,31,97.0,0.3225806451612903,False
S-023f3c,2023-04,15,1875.0,1,0,30,125.0,0.5,True
S-023f3c,2023-07,11,836.0,1,0,31,76.0,0.3548387096774194,False
S-023f3c,2024-01,3,801.0,1,0,31,267.0,0.0967741935483871,False
S-023f3c,2024-03,13,1456.0,1,0,31,112.0,0.41935483870967744,True
S-023f3c,2024-05,9,2745.0,1,4,31,305.0,0.2903225806451613,False
S-023f3c,2024-09,9,1629.0,1,2,30,181.0,0.3,False
S-023f5f,2023-01,16,6816.0,1,0,31,426.0,0.5161290322580645,True
S-023f5f,2023-05,11,1287.0,1,0,31,117.0,0.3548387096774194,False
S-023f5f,2024-01,8,3608.0,1,0,31,451.0,0.25806451612903225,False
