subscription_id,account_id,month,mrr,is_churned_month,cohort_month,months_since_signup
S-000002,A-bbc346,2024-09,3781.0,False,2024-09,0
S-000002,A-bbc346,2024-10,3781.0,False,2024-09,1
S-000002,A-bbc346,2024-11,3781.0,False,2024-09,2
S-000002,A-bbc346,2024-12,0.0,True,2024-09,3
S-000003,A-781cc0,2024-09,646.0,False,2024-09,0
S-000003,A-781cc0,2024-10,646.0,False,2024-09,1
S-000003,A-781cc0,2024-11,646.0,False,2024-09,2
S-000003,A-781cc0,2024-12,646.0,False,2024-09,3
S-000003,A-781cc0,2025-01,0.0,True,2024-09,4
S-000004,A-9b9fe9,2024-08,245.0,False,2024-08,0
S-000004,A-9b9fe9,2024-09,245.0,False,2024-08,1
S-000004,A-9b9fe9,2024-10,0.0,True,2024-08,2
S-000005,A-faa28c,2024-06,9552.0,False,2024-06,0
S-000005,A-faa28c,2024-07,9552.0,False,2024-06,1
S-000005,A-faa28c,2024-08,9552.0,False,2024-06,2
S-000005,A-faa28c,2024-09,0.0,True,2024-06,3
S-000006,A-dcc3f1,2024-10,4179.0,False,2024-10,0
S-000006,A-dcc3f1,2024-11,4179.0,False,2024-10,1
S-000006,A-dcc3f1,2024-12,4179.0,False,2024-10,2
S-000006,A-dcc3f1,2025-01,4179.0,False,2024-10,3
S-000006,A-dcc3f1,2025-02,4179.0,False,2024-10,4
S-000006,A-dcc3f1,2025-03,4179.0,False,2024-10,5
S-000006,A-dcc3f1,2025-04,4179.0,False,2024-10,6
S-000006,A-dcc3f1,2025-05,4179.0,False,2024-10,7
S-000006,A-dcc3f1,2025-06,4179.0,False,2024-10,8
S-000006,A-dcc3f1,2025-07,4179.0,False,2024-10,9
S-000006,A-dcc3f1,2025-08,4179.0,False,2024-10,10
S-000006,A-dcc3f1,2025-09,4179.0,False,2024-10,11
S-000006,A-dcc3f1,2025-10,4179.0,False,2024-10,12
S-000006,A-dcc3f1,2025-11,4179.0,False,2024-10,13
S-000006,A-dcc3f1,2025-12,4179.0,False,2024-10,14
S-000007,A-bb2f49,2024-12,152.0,False,2024-12,0
S-000007,A-bb2f49,2025-01,152.0,False,2024-12,1
S-000007,A-bb2f49,2025-02,152.0,False,2024-12,2
S-000007,A-bb2f49,2025-03,152.0,False,2024-12,3
S-000007,A-bb2f49,2025-04,152.0,False,2024-12,4
S-000007,A-bb2f49,2025-05,152.0,False,2024-12,5
S-000007,A-bb2f49,2025-06,152.0,False,2024-12,6
S-000007,A-bb2f49,2025-07,152.0,False,2024-12,7
S-000007,A-bb2f49,2025-08,152.0,False,2024-12,8
S-000007,A-bb2f49,2025-09,152.0,False,2024-12,9
S-000007,A-bb2f49,2025-10,152.0,False,2024-12,10
S-000007,A-bb2f49,2025-11,152.0,False,2024-12,11
S-000007,A-bb2f49,2025-12,152.0,False,2024-12,12
S-000008,A-054577,2024-07,597.0,False,2024-07,0
S-000008,A-054577,2024-08,597.0,False,2024-07,1
S-000008,A-054577,2024-09,597.0,False,2024-07,2
S-000008,A-054577,2024-10,597.0,False,2024-07,3
S-000008,A-054577,2024-11,597.0,False,2024-07,4
S-000008,A-054577,2024-12,597.0,False,2024-07,5
S-000008,A-054577,2025-01,597.0,False,2024-07,6
S-000008,A-054577,2025-02,597.0,False,2024-07,7
S-000008,A-054577,2025-03,597.0,False,2024-07,8
S-000008,A-054577,2025-04,597.0,False,2024-07,9
S-000008,A-054577,2025-05,597.0,False,2024-07,10
S-000008,A-054577,2025-06,597.0,False,2024-07,11
S-000008,A-054577,2025-07,597.0,False,2024-07,12
S-000008,A-054577,2025-08,597.0,False,2024-07,13
S-000008,A-054577,2025-09,597.0,False,2024-07,14
S-000008,A-054577,2025-10,597.0,False,2024-07,15
S-000008,A-054577,2025-11,597.0,False,2024-07,16
S-000008,A-054577,2025-12,597.0,False,2024-07,17
S-000009,A-d82ef9,2024-07,2842.0,False,2024-07,0
S-000009,A-d82ef9,2024-08,2842.0,False,2024-07,1
S-000009,A-d82ef9,2024-09,0.0,True,2024-07,2
S-00000a,A-a33200,2024-11,1764.0,False,2024-11,0
S-00000a,A-a33200,2024-12,1764.0,False,2024-11,1
S-00000a,A-a33200,2025-01,1764.0,False,2024-11,2
S-00000a,A-a33200,2025-02,1764.0,False,2024-11,3
S-00000a,A-a33200,2025-03,1764.0,False,2024-11,4
S-00000a,A-a33200,2025-04,1764.0,False,2024-11,5
S-00000a,A-a33200,2025-05,1764.0,False,2024-11,6
S-00000a,A-a33200,2025-06,1764.0,False,2024-11,7
S-00000a,A-a33200,2025-07,1764.0,False,2024-11,8
S-00000a,A-a33200,2025-08,1764.0,False,2024-11,9
S-00000a,A-a33200,2025-09,1764.0,False,2024-11,10
S-00000a,A-a33200,2025-10,1764.0,False,2024-11,11
S-00000a,A-a33200,2025-11,1764.0,False,2024-11,12
S-00000a,A-a33200,2025-12,1764.0,False,2024-11,13
S-00000b,A-a6d261,2023-12,171.0,False,2023-12,0
S-00000b,A-a6d261,2024-01,171.0,False,2023-12,1
S-00000b,A-a6d261,2024-02,171.0,False,2023-12,2
S-00000b,A-a6d261,2024-03,171.0,False,2023-12,3
S-00000b,A-a6d261,2024-04,0.0,True,2023-12,4
S-00000c,A-dcc2f0,2023-11,2985.0,False,2023-11,0
S-00000c,A-dcc2f0,2023-12,2985.0,False,2023-11,1
S-00000c,A-dcc2f0,2024-01,2985.0,False,2023-11,2
S-00000c,A-dcc2f0,2024-02,2985.0,False,2023-11,3
S-00000c,A-dcc2f0,2024-03,2985.0,False,2023-11,4
S-00000c,A-dcc2f0,2024-04,2985.0,False,2023-11,5
S-00000c,A-dcc2f0,2024-05,0.0,True,2023-11,6
S-00000d,A-82d8a6,2024-12,608.0,False,2024-12,0
S-00000d,A-82d8a6,2025-01,0.0,True,2024-12,1
S-00000e,A-9f9299,2024-04,532.0,False,2024-04,0
S-00000e,A-9f9299,2024-05,532.0,False,2024-04,1
S-00000e,A-9f9299,2024-06,532.0,False,2024-04,2
S-00000e,A-9f9299,2024-07,532.0,False,2024-04,3
S-00000e,A-9f9299,2024-08,532.0,False,2024-04,4
S-00000e,A-9f9299,2024-09,532.0,False,2024-04,5
S-00000e,A-9f9299,2024-10,532.0,False,2024-04,6
S-00000e,A-9f9299,2024-11,0.0,True,2024-04,7
S-00000f,A-700ade,2024-11,1791.0,False,2024-11,0
S-00000f,A-700ade,2024-12,1791.0,False,2024-11,1
S-00000f,A-700ade,2025-01,0.0,True,2024-11,2
S-000010,A-a8b49c,2024-03,1393.0,False,2024-03,0
S-000010,A-a8b49c,2024-04,1393.0,False,2024-03,1
S-000010,A-a8b49c,2024-05,1393.0,False,2024-03,2
S-000010,A-a8b49c,2024-06,1393.0,False,2024-03,3
S-000010,A-a8b49c,2024-07,0.0,True,2024-03,4
