etl_run_id,timestamp,table,primary_key,column,original_value,corrected_value,reason_code,notes
15ebb07f-735a-4732-ab1c-adf310dc122f,2025-12-18T12:34:36.327554+00:00,churn_events,"{""churn_event_id"": ""C-07be44""}",,,,duplicate_raw_keep_max_completeness,
15ebb07f-735a-4732-ab1c-adf310dc122f,2025-12-18T12:34:36.328881+00:00,churn_events,"{""churn_event_id"": ""C-08d3b3""}",,,,duplicate_raw_keep_max_completeness,
15ebb07f-735a-4732-ab1c-adf310dc122f,2025-12-18T12:34:36.329659+00:00,churn_events,"{""churn_event_id"": ""C-0a0bf7""}",,,,duplicate_raw_keep_max_completeness,
15ebb07f-735a-4732-ab1c-adf310dc122f,2025-12-18T12:34:36.330391+00:00,churn_events,"{""churn_event_id"": ""C-0ba0a0""}",,,,duplicate_raw_keep_max_completeness,
15ebb07f-735a-4732-ab1c-adf310dc122f,2025-12-18T12:34:36.332135+00:00,churn_events,"{""churn_event_id"": ""C-1f5828""}",,,,duplicate_raw_keep_max_completeness,
15ebb07f-735a-4732-ab1c-adf310dc122f,2025-12-18T12:34:36.333640+00:00,churn_events,"{""churn_event_id"": ""C-2cccb0""}",,,,duplicate_raw_keep_max_completeness,
15ebb07f-735a-4732-ab1c-adf310dc122f,2025-12-18T12:34:36.336923+00:00,churn_events,"{""churn_event_id"": ""C-57a768""}",,,,duplicate_raw_keep_max_completeness,
15ebb07f-735a-4732-ab1c-adf310dc122f,2025-12-18T12:34:36.338012+00:00,churn_events,"{""churn_event_id"": ""C-600a7c""}",,,,duplicate_raw_keep_max_completeness,
15ebb07f-735a-4732-ab1c-adf310dc122f,2025-12-18T12:34:36.339258+00:00,churn_events,"{""churn_event_id"": ""C-6c63bc""}",,,,duplicate_raw_keep_max_completeness,
15ebb07f-735a-4732-ab1c-adf310dc122f,2025-12-18T12:34:36.340823+00:00,churn_events,"{""churn_event_id"": ""C-70de89""}",,,,duplicate_raw_keep_max_completeness,
15ebb07f-735a-4732-ab1c-adf310dc122f,2025-12-18T12:34:36.342281+00:00,churn_events,"{""churn_event_id"": ""C-7690f5""}",,,,duplicate_raw_keep_max_completeness,
15ebb07f-735a-4732-ab1c-adf310dc122f,2025-12-18T12:34:36.344694+00:00,churn_events,"{""churn_event_id"": ""C-885a34""}",,,,duplicate_raw_keep_max_completeness,
15ebb07f-735a-4732-ab1c-adf310dc122f,2025-12-18T12:34:36.345939+00:00,churn_events,"{""churn_event_id"": ""C-8a3bc6""}",,,,duplicate_raw_keep_max_completeness,
15ebb07f-735a-4732-ab1c-adf310dc122f,2025-12-18T12:34:36.346859+00:00,churn_events,"{""churn_event_id"": ""C-8ab44a""}",,,,duplicate_raw_keep_max_completeness,
15ebb07f-735a-4732-ab1c-adf310dc122f,2025-12-18T12:34:36.349134+00:00,churn_events,"{""churn_event_id"": ""C-9c899e""}",,,,duplicate_raw_keep_max_completeness,
15ebb07f-735a-4732-ab1c-adf310dc122f,2025-12-18T12:34:36.350760+00:00,churn_events,"{""churn_event_id"": ""C-a529cf""}",,,,duplicate_raw_keep_max_completeness,
15ebb07f-735a-4732-ab1c-adf310dc122f,2025-12-18T12:34:36.353430+00:00,churn_events,"{""churn_event_id"": ""C-bb9db4""}",,,,duplicate_raw_keep_max_completeness,
